start_id_a,start_name_a,start_id_b,start_name_b,meeting_step,meeting_id,meeting_name
de80f5fd-4572-4bb6-9e21-9860f5fa6b24,Ihan Termit,af820908-f71f-4c46-82c2-e7616f9c21fb,Goričane pod gradom,3722,eb165f50-9c43-4b09-9658-469a16d3dc83,Kodeljevo
3d0466c6-82f4-4a8e-ac5f-18d4dab794ac,Ihan Flerin,627be449-8b6a-40f4-a57c-09ccdacccb66,Novo naselje,2356,295616c0-387b-4f60-a337-7743cd6be04e,Bavarski dvor
f8da5156-e545-47ed-a811-2242f41f5593,Mercator,6672b8cb-e56d-420a-a5e7-fc86e8aa3647,Žalna,5001,TIMEOUT,TIMEOUT
aa42017d-812a-4175-bc9b-0fec03b18931,Ambrožev trg,441545fb-7a0c-4555-aea8-01cbe6c14ea3,Puhova,91,d5102041-8282-4c77-a593-edac0d0d4a34,Cukrarna
363e4763-df83-4814-99d2-879d448d5910,Obrtna cona,7ad25867-5c97-4f9f-9b1b-4966436f7fbf,NS Rudnik,2301,77c4dfcc-1122-4896-9983-8a5bd11320de,Dravlje
1ceecd12-b005-4828-ad39-8f2aeb1ca228,Iški most,0810f07b-94d6-442f-b10d-bf8210c4ed47,Draveljska gmajna,5001,TIMEOUT,TIMEOUT
48b163cd-b819-4849-aee1-8b1da77657ab,Šentvid,48c9ec48-2b87-4945-a077-808839f98e74,Ježa,1134,30e58784-86f6-4d93-8630-3cc3fc93c6f3,Brod
e7789f42-0ad7-44d1-974b-42a3f4957291,Strelišče,d2ff7ae5-59fc-4894-aa50-a7f16b5e3534,Ižanska,1,c8e0086c-0cef-4375-a471-72f3ae1e34fc,Strelišče
26ec9924-5586-4fd5-8b20-63f2d0a38d44,Pri Dolencu,169789c5-0251-47a6-800a-74ff3dffe04d,Hrastje,5001,TIMEOUT,TIMEOUT
a378ce5e-57ce-4c52-b219-568674b5cd5e,Gornji trg,912792ae-7f7e-4295-8064-38ea96a5dc4a,Zagradec pri Grosupljem,5001,TIMEOUT,TIMEOUT
3edd6057-3847-4c42-b8ec-6e89ff95793a,Zadobrova,73e6ef23-ef0c-41bf-9960-0e3078b94d23,Ig,3543,bea274aa-277a-403d-ab2f-a0342b28882e,Križanke
d6ae97e7-23b5-48d6-a9fa-2a2624e9f434,Rakovnik pri Sori,76ec8af8-07c2-4d44-b0d8-a439d381913f,Medno,1236,8c7fa045-888b-46d0-8189-6f82623bf481,Poljanska
47283e27-c588-411c-9303-30a6f0beeaef,Zgornji log,d9f26e1a-77fc-48b0-a024-93fd38eb88a4,SOSTRO,1370,96d4c75b-6452-4c70-a31e-c234262ba38b,Veliki štradon
53ec687a-6f0c-4bb7-b1b4-606e7dcfada9,IMP,2cde6efe-5f53-44aa-8018-76f0ea2c86f8,Reaktor,5001,TIMEOUT,TIMEOUT
10d57057-b305-4b7a-806b-3373014db962,Nadgorica,9143c575-806f-4ba0-81bc-8199f0b0b4d0,Šentjakob,4,461045f0-a82c-45c0-af66-71b25f3f0e1a,Belinka
